no,time,action_desc,action_data,change_amount,amount,additional_info
1	,2025-12-23 11:51:26,Торговые комиссии,982015212396	,-0.000166974927 GT,1.435796092910 GT,Доступно: 1.435796092910 GT
2	,2025-12-23 11:51:26,Торговые комиссии,982015212396	,-0.004452664723 GT,1.435963067838 GT,Доступно: 1.435963067838 GT
3	,2025-12-23 11:51:26,Продажа,982015212396	,-3.000000000000 RAVE,0.000000000000 RAVE,Доступно: 0.000000000000 RAVE
4	,2025-12-23 11:51:26,Продажа,982015212396	,-80.000000000000 RAVE,3.000000000000 RAVE,Доступно: 0.000000000000 RAVE
5	,2025-12-23 11:51:26,Купить,982015212396	,1.90908000 USDT,216.50624815 USDT,Доступно: 216.50624815 USDT
6	,2025-12-23 11:51:26,Купить,982015212396	,50.90880000 USDT,214.59716815 USDT,Доступно: 214.59716815 USDT
7	,2025-12-23 11:29:02,Торговые комиссии,982550441622	,-0.000992099125 GT,1.440415732561 GT,Доступно: 1.440415732561 GT
8	,2025-12-23 11:29:02,Торговые комиссии,982550441622	,-0.000835451895 GT,1.441407831686 GT,Доступно: 1.441407831686 GT
9	,2025-12-23 11:29:02,Торговые комиссии,982550441622	,-0.000783236151 GT,1.442243283581 GT,Доступно: 1.442243283581 GT
10	,2025-12-23 11:29:02,Торговые комиссии,982550441622	,-0.000835451895 GT,1.443026519733 GT,Доступно: 1.443026519733 GT
11	,2025-12-23 11:29:02,Торговые комиссии,982550441622	,-0.001200962099 GT,1.443861971628 GT,Доступно: 1.443861971628 GT
12	,2025-12-23 11:29:02,Продажа,982550441622	,-19.000000000000 RAVE,83.000000000000 RAVE,Доступно: 0.000000000000 RAVE
13	,2025-12-23 11:29:02,Продажа,982550441622	,-16.000000000000 RAVE,102.000000000000 RAVE,Доступно: 0.000000000000 RAVE
14	,2025-12-23 11:29:02,Продажа,982550441622	,-15.000000000000 RAVE,118.000000000000 RAVE,Доступно: 0.000000000000 RAVE
15	,2025-12-23 11:29:02,Продажа,982550441622	,-16.000000000000 RAVE,133.000000000000 RAVE,Доступно: 0.000000000000 RAVE
16	,2025-12-23 11:29:02,Продажа,982550441622	,-23.000000000000 RAVE,149.000000000000 RAVE,Доступно: 0.000000000000 RAVE
17	,2025-12-23 11:29:02,Купить,982550441622	,11.34300000 USDT,163.68836815 USDT,Доступно: 163.68836815 USDT
18	,2025-12-23 11:29:02,Купить,982550441622	,9.55200000 USDT,152.34536815 USDT,Доступно: 152.34536815 USDT
19	,2025-12-23 11:29:02,Купить,982550441622	,8.95500000 USDT,142.79336815 USDT,Доступно: 142.79336815 USDT
20	,2025-12-23 11:29:02,Купить,982550441622	,9.55200000 USDT,133.83836815 USDT,Доступно: 133.83836815 USDT
21	,2025-12-23 11:29:02,Купить,982550441622	,13.73100000 USDT,124.28636815 USDT,Доступно: 124.28636815 USDT
22	,2025-12-23 11:28:54,Торговые комиссии,982554173903	,-0.001094401747 GT,1.445062933727 GT,Доступно: 1.445062933727 GT
23	,2025-12-23 11:28:54,Торговые комиссии,982554173903	,-0.000781715533 GT,1.446157335474 GT,Доступно: 1.446157335474 GT
24	,2025-12-23 11:28:54,Торговые комиссии,982554173903	,-0.000885944271 GT,1.446939051008 GT,Доступно: 1.446939051008 GT
25	,2025-12-23 11:28:54,Торговые комиссии,982554173903	,-0.000885944271 GT,1.447824995280 GT,Доступно: 1.447824995280 GT
26	,2025-12-23 11:28:54,Торговые комиссии,982554173903	,-0.000521143689 GT,1.448710939552 GT,Доступно: 1.448710939552 GT
27	,2025-12-23 11:28:54,Торговые комиссии,982554173903	,-0.000469029320 GT,1.449232083241 GT,Доступно: 1.449232083241 GT
28	,2025-12-23 11:28:54,Торговые комиссии,982554173903	,-0.000521143689 GT,1.449701112562 GT,Доступно: 1.449701112562 GT
29	,2025-12-23 11:28:54,Продажа,982554173903	,-21.000000000000 RAVE,172.000000000000 RAVE,Доступно: 0.000000000000 RAVE
30	,2025-12-23 11:28:54,Продажа,982554173903	,-15.000000000000 RAVE,193.000000000000 RAVE,Доступно: 0.000000000000 RAVE
31	,2025-12-23 11:28:54,Продажа,982554173903	,-17.000000000000 RAVE,208.000000000000 RAVE,Доступно: 0.000000000000 RAVE
32	,2025-12-23 11:28:54,Продажа,982554173903	,-17.000000000000 RAVE,225.000000000000 RAVE,Доступно: 0.000000000000 RAVE
33	,2025-12-23 11:28:54,Продажа,982554173903	,-10.000000000000 RAVE,242.000000000000 RAVE,Доступно: 0.000000000000 RAVE
34	,2025-12-23 11:28:54,Продажа,982554173903	,-9.000000000000 RAVE,252.000000000000 RAVE,Доступно: 0.000000000000 RAVE
35	,2025-12-23 11:28:54,Продажа,982554173903	,-10.000000000000 RAVE,261.000000000000 RAVE,Доступно: 0.000000000000 RAVE
36	,2025-12-23 11:28:54,Купить,982554173903	,12.52482000 USDT,110.55536815 USDT,Доступно: 110.55536815 USDT
37	,2025-12-23 11:28:54,Купить,982554173903	,8.94630000 USDT,98.03054815 USDT,Доступно: 98.03054815 USDT
38	,2025-12-23 11:28:54,Купить,982554173903	,10.13914000 USDT,89.08424815 USDT,Доступно: 89.08424815 USDT
39	,2025-12-23 11:28:54,Купить,982554173903	,10.13914000 USDT,78.94510815 USDT,Доступно: 78.94510815 USDT
40	,2025-12-23 11:28:54,Купить,982554173903	,5.96420000 USDT,68.80596815 USDT,Доступно: 68.80596815 USDT
41	,2025-12-23 11:28:54,Купить,982554173903	,5.36778000 USDT,62.84176815 USDT,Доступно: 62.84176815 USDT
42	,2025-12-23 11:28:54,Купить,982554173903	,5.96420000 USDT,57.47398815 USDT,Доступно: 57.47398815 USDT
43	,2025-12-23 11:28:04,Торговые комиссии,982558311526	,-0.000155609126 GT,1.450222256251 GT,Доступно: 1.450222256251 GT
44	,2025-12-23 11:28:04,Торговые комиссии,982558311526	,-0.001711700388 GT,1.450377865377 GT,Доступно: 1.450377865377 GT
45	,2025-12-23 11:28:04,Торговые комиссии,982558311526	,-0.002022918640 GT,1.452089565766 GT,Доступно: 1.452089565766 GT
46	,2025-12-23 11:28:04,Торговые комиссии,982558311526	,-0.000570566796 GT,1.454112484406 GT,Доступно: 1.454112484406 GT
47	,2025-12-23 11:28:04,Продажа,982558311526	,-3.000000000000 RAVE,271.000000000000 RAVE,Доступно: 0.000000000000 RAVE
48	,2025-12-23 11:28:04,Продажа,982558311526	,-33.000000000000 RAVE,274.000000000000 RAVE,Доступно: 0.000000000000 RAVE
49	,2025-12-23 11:28:04,Продажа,982558311526	,-39.000000000000 RAVE,307.000000000000 RAVE,Доступно: 0.000000000000 RAVE
50	,2025-12-23 11:28:04,Продажа,982558311526	,-11.000000000000 RAVE,346.000000000000 RAVE,Доступно: 0.000000000000 RAVE
51	,2025-12-23 11:28:04,Купить,982558311526	,1.78086000 USDT,51.50978815 USDT,Доступно: 51.50978815 USDT
52	,2025-12-23 11:28:04,Купить,982558311526	,19.58946000 USDT,49.72892815 USDT,Доступно: 49.72892815 USDT
53	,2025-12-23 11:28:04,Купить,982558311526	,23.15118000 USDT,30.13946815 USDT,Доступно: 30.13946815 USDT
54	,2025-12-23 11:28:04,Купить,982558311526	,6.52982000 USDT,6.98828815 USDT,Доступно: 6.98828815 USDT
55	,2025-12-23 11:27:59,Торговые комиссии,982558285433	,-0.000621377475 GT,1.454683051202 GT,Доступно: 1.454683051202 GT
56	,2025-12-23 11:27:59,Торговые комиссии,982558285433	,-0.003831827766 GT,1.455304428678 GT,Доступно: 1.455304428678 GT
57	,2025-12-23 11:27:59,Купить,982558285433	,12.000000000000 RAVE,357.000000000000 RAVE,Доступно: 86.000000000000 RAVE
58	,2025-12-23 11:27:59,Купить,982558285433	,74.000000000000 RAVE,345.000000000000 RAVE,Доступно: 74.000000000000 RAVE
59	,2025-12-23 11:27:59,Продажа,982558285433	,-7.11132000 USDT,0.45846815 USDT,Доступно: 0.45846815 USDT
60	,2025-12-23 11:27:59,Продажа,982558285433	,-43.85314000 USDT,7.56978815 USDT,Доступно: 0.45846815 USDT
61	,2025-12-23 11:27:24,Торговые комиссии,982558091597	,-0.004445840970 GT,1.459136256445 GT,Доступно: 1.459136256445 GT
62	,2025-12-23 11:27:24,Продажа,982558091597	,-86.000000000000 RAVE,271.000000000000 RAVE,Доступно: 0.000000000000 RAVE
63	,2025-12-23 11:27:24,Купить,982558091597	,50.88018000 USDT,51.42292815 USDT,Доступно: 51.42292815 USDT
64	,2025-12-23 11:27:20,Торговые комиссии,982558032180	,-0.001599428446 GT,1.463582097416 GT,Доступно: 1.463582097416 GT
65	,2025-12-23 11:27:20,Купить,982558032180	,31.000000000000 RAVE,357.000000000000 RAVE,Доступно: 86.000000000000 RAVE
66	,2025-12-23 11:27:20,Продажа,982558032180	,-18.30457000 USDT,0.54274815 USDT,Доступно: 0.54274815 USDT
67	,2025-12-23 11:27:19,Торговые комиссии,982558032180	,-0.000206377864 GT,1.465181525863 GT,Доступно: 1.465181525863 GT
68	,2025-12-23 11:27:19,Торговые комиссии,982558032180	,-0.000928700388 GT,1.465387903727 GT,Доступно: 1.465387903727 GT
69	,2025-12-23 11:27:19,Купить,982558032180	,4.000000000000 RAVE,326.000000000000 RAVE,Доступно: 55.000000000000 RAVE
70	,2025-12-23 11:27:19,Купить,982558032180	,18.000000000000 RAVE,322.000000000000 RAVE,Доступно: 51.000000000000 RAVE
71	,2025-12-23 11:27:19,Продажа,982558032180	,-2.36188000 USDT,18.84731815 USDT,Доступно: 0.54274815 USDT
72	,2025-12-23 11:27:19,Продажа,982558032180	,-10.62846000 USDT,21.20919815 USDT,Доступно: 0.54274815 USDT
73	,2025-12-23 11:27:18,Торговые комиссии,982558032180	,-0.001702617378 GT,1.466316604115 GT,Доступно: 1.466316604115 GT
74	,2025-12-23 11:27:18,Купить,982558032180	,33.000000000000 RAVE,304.000000000000 RAVE,Доступно: 33.000000000000 RAVE
75	,2025-12-23 11:27:18,Продажа,982558032180	,-19.48551000 USDT,31.83765815 USDT,Доступно: 0.54274815 USDT
76	,2025-12-23 11:27:05,Торговые комиссии,982557993816	,-0.000826657864 GT,1.468019221494 GT,Доступно: 1.468019221494 GT
77	,2025-12-23 11:27:05,Продажа,982557993816	,-16.000000000000 RAVE,271.000000000000 RAVE,Доступно: 0.000000000000 RAVE
